"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION; EMPF ","614388","DNM1L","dynamin 1-like","10059","603850","VPS1","YKR001C","Vacuolar Protein Sorting","Panther"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","STE6","YKL209C","STErile","Panther"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YCF1","YDR135C","Yeast Cadmium Factor","Ensembl"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12 ","614050","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","","YKR104W","","Panther"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","STE6","YKL209C","STErile","Panther"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YCF1","YDR135C","Yeast Cadmium Factor","Ensembl"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"CANTU SYNDROME ","239850","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","","YKR104W","","Panther"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","STE6","YKL209C","STErile","Panther"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YCF1","YDR135C","Yeast Cadmium Factor","Ensembl"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"CARDIOMYOPATHY, DILATED, 1O; CMD1O ","608569","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","10060","601439","","YKR104W","","Panther"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST ","300706","HUWE1","HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase","10075","300697","TOM1","YDR457W","Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis","Ensembl"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST ","300706","HUWE1","HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase","10075","300697","TOM1","YDR457W","Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis","Panther"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST ","300706","HUWE1","HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase","10075","300697","TOM1","YDR457W","Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis","TreeFam"
"NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER; NBSLD ","613078","RAD50","RAD50 homolog (S. cerevisiae)","10111","604040","RAD50","YNL250W","RADiation sensitive","Ensembl"
"NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER; NBSLD ","613078","RAD50","RAD50 homolog (S. cerevisiae)","10111","604040","RAD50","YNL250W","RADiation sensitive","HomoloGene"
"NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER; NBSLD ","613078","RAD50","RAD50 homolog (S. cerevisiae)","10111","604040","RAD50","YNL250W","RADiation sensitive","Panther"
"NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER; NBSLD ","613078","RAD50","RAD50 homolog (S. cerevisiae)","10111","604040","RAD50","YNL250W","RADiation sensitive","TreeFam"
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH CONTIGUOUS ABCD1/DXS1375E DELETION SYNDROME, INCLUDED; CADDS, INCLUDED ","300475","BCAP31","B-cell receptor-associated protein 31","10134","300398","YET1","YKL065C","Yeast Endoplasmic reticulum Transmembrane protein","Panther"
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH CONTIGUOUS ABCD1/DXS1375E DELETION SYNDROME, INCLUDED; CADDS, INCLUDED ","300475","BCAP31","B-cell receptor-associated protein 31","10134","300398","YET2","YMR040W","Yeast Endoplasmic reticulum Transmembrane protein","Panther"
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH CONTIGUOUS ABCD1/DXS1375E DELETION SYNDROME, INCLUDED; CADDS, INCLUDED ","300475","BCAP31","B-cell receptor-associated protein 31","10134","300398","YET3","YDL072C","Yeast Endoplasmic reticulum Transmembrane protein","Panther"
"LONG QT SYNDROME 11; LQT11 ","611820","AKAP9","A kinase (PRKA) anchor protein 9","10142","604001","MLP2","YIL149C","Myosin-Like Protein","Ensembl"
"HYPERLYSINEMIA ","238700","AASS","aminoadipate-semialdehyde synthase","10157","605113","LYS9","YNR050C","LYSine requiring","HomoloGene"
"SACCHAROPINURIA ","268700","AASS","aminoadipate-semialdehyde synthase","10157","605113","LYS9","YNR050C","LYSine requiring","HomoloGene"
"CITRULLINEMIA, TYPE II, ADULT-ONSET; CTLN2 ","603471","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","10165","603859","AGC1","YPR021C","Aspartate-Glutamate Carrier","Ensembl"
"CITRULLINEMIA, TYPE II, ADULT-ONSET; CTLN2 ","603471","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","10165","603859","AGC1","YPR021C","Aspartate-Glutamate Carrier","Panther"
"CITRULLINEMIA, TYPE II, ADULT-ONSET; CTLN2 ","603471","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","10165","603859","AGC1","YPR021C","Aspartate-Glutamate Carrier","TreeFam"
"CITRULLINEMIA, TYPE II, NEONATAL-ONSET ","605814","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","10165","603859","AGC1","YPR021C","Aspartate-Glutamate Carrier","Ensembl"
"CITRULLINEMIA, TYPE II, NEONATAL-ONSET ","605814","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","10165","603859","AGC1","YPR021C","Aspartate-Glutamate Carrier","Panther"
"CITRULLINEMIA, TYPE II, NEONATAL-ONSET ","605814","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","10165","603859","AGC1","YPR021C","Aspartate-Glutamate Carrier","TreeFam"
"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3; CMM3 ","609048","CDK4","cyclin-dependent kinase 4","1019","123829","CAK1","YFL029C","Cdk-Activating Kinase","Panther"
"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3; CMM3 ","609048","CDK4","cyclin-dependent kinase 4","1019","123829","CDC28","YBR160W","Cell Division Cycle","Ensembl"
"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3; CMM3 ","609048","CDK4","cyclin-dependent kinase 4","1019","123829","CDC28","YBR160W","Cell Division Cycle","Panther"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id; CDG1D ","601110","ALG3","ALG3, alpha-1,3- mannosyltransferase","10195","608750","ALG3","YBL082C","Asparagine Linked Glycosylation","Ensembl"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id; CDG1D ","601110","ALG3","ALG3, alpha-1,3- mannosyltransferase","10195","608750","ALG3","YBL082C","Asparagine Linked Glycosylation","HomoloGene"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id; CDG1D ","601110","ALG3","ALG3, alpha-1,3- mannosyltransferase","10195","608750","ALG3","YBL082C","Asparagine Linked Glycosylation","Panther"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id; CDG1D ","601110","ALG3","ALG3, alpha-1,3- mannosyltransferase","10195","608750","ALG3","YBL082C","Asparagine Linked Glycosylation","TreeFam"
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1 ","154400","SF3B4","splicing factor 3b, subunit 4, 49kDa","10262","605593","HSH49","YOR319W","Human Sap Homolog","Ensembl"
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1 ","154400","SF3B4","splicing factor 3b, subunit 4, 49kDa","10262","605593","HSH49","YOR319W","Human Sap Homolog","HomoloGene"
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1 ","154400","SF3B4","splicing factor 3b, subunit 4, 49kDa","10262","605593","HSH49","YOR319W","Human Sap Homolog","Panther"
"MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY; MADB ","608612","ZMPSTE24","zinc metallopeptidase STE24","10269","606480","STE24","YJR117W","STErile","Ensembl"
"MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY; MADB ","608612","ZMPSTE24","zinc metallopeptidase STE24","10269","606480","STE24","YJR117W","STErile","HomoloGene"
"MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY; MADB ","608612","ZMPSTE24","zinc metallopeptidase STE24","10269","606480","STE24","YJR117W","STErile","Panther"
"MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY; MADB ","608612","ZMPSTE24","zinc metallopeptidase STE24","10269","606480","STE24","YJR117W","STErile","TreeFam"
"RESTRICTIVE DERMOPATHY, LETHAL ","275210","ZMPSTE24","zinc metallopeptidase STE24","10269","606480","STE24","YJR117W","STErile","Ensembl"
"RESTRICTIVE DERMOPATHY, LETHAL ","275210","ZMPSTE24","zinc metallopeptidase STE24","10269","606480","STE24","YJR117W","STErile","HomoloGene"
"RESTRICTIVE DERMOPATHY, LETHAL ","275210","ZMPSTE24","zinc metallopeptidase STE24","10269","606480","STE24","YJR117W","STErile","Panther"
"RESTRICTIVE DERMOPATHY, LETHAL ","275210","ZMPSTE24","zinc metallopeptidase STE24","10269","606480","STE24","YJR117W","STErile","TreeFam"
"AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE; ALS16 ","614373","SIGMAR1","sigma non-opioid intracellular receptor 1","10280","601978","ERG2","YMR202W","ERGosterol biosynthesis","Ensembl"
"AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE; ALS16 ","614373","SIGMAR1","sigma non-opioid intracellular receptor 1","10280","601978","ERG2","YMR202W","ERGosterol biosynthesis","HomoloGene"
"AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE; ALS16 ","614373","SIGMAR1","sigma non-opioid intracellular receptor 1","10280","601978","ERG2","YMR202W","ERGosterol biosynthesis","TreeFam"
"BRANCHED-CHAIN KETOACID DEHYDROGENASE KINASE DEFICIENCY; BCKDKD ","614923","BCKDK","branched chain ketoacid dehydrogenase kinase","10295","614901","PKP1","YIL042C","Protein Kinase of PDH","HomoloGene"
"BRANCHED-CHAIN KETOACID DEHYDROGENASE KINASE DEFICIENCY; BCKDKD ","614923","BCKDK","branched chain ketoacid dehydrogenase kinase","10295","614901","PKP1","YIL042C","Protein Kinase of PDH","Panther"
"BRANCHED-CHAIN KETOACID DEHYDROGENASE KINASE DEFICIENCY; BCKDKD ","614923","BCKDK","branched chain ketoacid dehydrogenase kinase","10295","614901","PKP1","YIL042C","Protein Kinase of PDH","TreeFam"
"BRANCHED-CHAIN KETOACID DEHYDROGENASE KINASE DEFICIENCY; BCKDKD ","614923","BCKDK","branched chain ketoacid dehydrogenase kinase","10295","614901","PKP2","YGL059W","Protein Kinase of PDH","Ensembl"
"BRANCHED-CHAIN KETOACID DEHYDROGENASE KINASE DEFICIENCY; BCKDKD ","614923","BCKDK","branched chain ketoacid dehydrogenase kinase","10295","614901","PKP2","YGL059W","Protein Kinase of PDH","Panther"
"BRANCHED-CHAIN KETOACID DEHYDROGENASE KINASE DEFICIENCY; BCKDKD ","614923","BCKDK","branched chain ketoacid dehydrogenase kinase","10295","614901","PKP2","YGL059W","Protein Kinase of PDH","TreeFam"
"AICARDI-GOUTIERES SYNDROME 6; AGS6 ","615010","ADAR","adenosine deaminase, RNA-specific","103","146920","TAD1","YGL243W","tRNA-specific Adenosine Deaminase","Panther"
"DYSCHROMATOSIS SYMMETRICA HEREDITARIA; DSH ","127400","ADAR","adenosine deaminase, RNA-specific","103","146920","TAD1","YGL243W","tRNA-specific Adenosine Deaminase","Panther"
"OSTEOPETROSIS, AUTOSOMAL RECESSIVE 1; OPTB1 ","259700","TCIRG1","T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3","10312","604592","STV1","YMR054W","Similar To VPH1","Ensembl"
"OSTEOPETROSIS, AUTOSOMAL RECESSIVE 1; OPTB1 ","259700","TCIRG1","T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3","10312","604592","STV1","YMR054W","Similar To VPH1","Panther"
"OSTEOPETROSIS, AUTOSOMAL RECESSIVE 1; OPTB1 ","259700","TCIRG1","T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3","10312","604592","VPH1","YOR270C","Vacuolar pH","Ensembl"
"OSTEOPETROSIS, AUTOSOMAL RECESSIVE 1; OPTB1 ","259700","TCIRG1","T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3","10312","604592","VPH1","YOR270C","Vacuolar pH","Panther"
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 1; CDCBM1 ","614039","TUBB3","tubulin, beta 3 class III","10381","602661","TUB2","YFL037W","TUBulin","Ensembl"
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 1; CDCBM1 ","614039","TUBB3","tubulin, beta 3 class III","10381","602661","TUB2","YFL037W","TUBulin","Panther"
"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3A, WITH OR WITHOUT EXTRAOCULAR INVOLVEMENT; CFEOM3A ","600638","TUBB3","tubulin, beta 3 class III","10381","602661","TUB2","YFL037W","TUBulin","Ensembl"
"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3A, WITH OR WITHOUT EXTRAOCULAR INVOLVEMENT; CFEOM3A ","600638","TUBB3","tubulin, beta 3 class III","10381","602661","TUB2","YFL037W","TUBulin","Panther"
"DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT; DYT4 ","128101","TUBB4A","tubulin, beta 4A class IVa","10382","602662","TUB2","YFL037W","TUBulin","Panther"
"LEUKODYSTROPHY, HYPOMYELINATING, 6; HLD6 ","612438","TUBB4A","tubulin, beta 4A class IVa","10382","602662","TUB2","YFL037W","TUBulin","Panther"
"BOWEN-CONRADI SYNDROME; BWCNS ","211180","EMG1","EMG1 N1-specific pseudouridine methyltransferase","10436","611531","EMG1","YLR186W","Essential for Mitotic Growth","HomoloGene"
"BOWEN-CONRADI SYNDROME; BWCNS ","211180","EMG1","EMG1 N1-specific pseudouridine methyltransferase","10436","611531","EMG1","YLR186W","Essential for Mitotic Growth","TreeFam"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIi; CDG2I ","613612","COG5","component of oligomeric golgi complex 5","10466","606821","COG5","YNL051W","Conserved Oligomeric Golgi complex","Panther"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH ","300243","SLC9A6","solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6","10479","300231","NHX1","YDR456W","Na+/H+ eXchanger","Ensembl"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH ","300243","SLC9A6","solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6","10479","300231","NHX1","YDR456W","Na+/H+ eXchanger","Panther"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH ","300243","SLC9A6","solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6","10479","300231","NHX1","YDR456W","Na+/H+ eXchanger","TreeFam"
"ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE II; CDAN2 ","224100","SEC23B","Sec23 homolog B (S. cerevisiae)","10483","610512","NEL1","YHR035W","Non-ERES Localized Sec23 homolog 1","Panther"
"ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE II; CDAN2 ","224100","SEC23B","Sec23 homolog B (S. cerevisiae)","10483","610512","SEC23","YPR181C","SECretory","Ensembl"
"ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE II; CDAN2 ","224100","SEC23B","Sec23 homolog B (S. cerevisiae)","10483","610512","SEC23","YPR181C","SECretory","Panther"
"ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE II; CDAN2 ","224100","SEC23B","Sec23 homolog B (S. cerevisiae)","10483","610512","SEC23","YPR181C","SECretory","TreeFam"
"CRANIOLENTICULOSUTURAL DYSPLASIA; CLSD ","607812","SEC23A","Sec23 homolog A (S. cerevisiae)","10484","610511","NEL1","YHR035W","Non-ERES Localized Sec23 homolog 1","Panther"
"CRANIOLENTICULOSUTURAL DYSPLASIA; CLSD ","607812","SEC23A","Sec23 homolog A (S. cerevisiae)","10484","610511","SEC23","YPR181C","SECretory","Ensembl"
"CRANIOLENTICULOSUTURAL DYSPLASIA; CLSD ","607812","SEC23A","Sec23 homolog A (S. cerevisiae)","10484","610511","SEC23","YPR181C","SECretory","HomoloGene"
"CRANIOLENTICULOSUTURAL DYSPLASIA; CLSD ","607812","SEC23A","Sec23 homolog A (S. cerevisiae)","10484","610511","SEC23","YPR181C","SECretory","Panther"
"CRANIOLENTICULOSUTURAL DYSPLASIA; CLSD ","607812","SEC23A","Sec23 homolog A (S. cerevisiae)","10484","610511","SEC23","YPR181C","SECretory","TreeFam"
"LEUKEMIA, ACUTE MYELOID; AML ","601626","CEBPA","CCAAT/enhancer binding protein (C/EBP), alpha","1050","116897","MET28","YIR017C","METhionine","Panther"
"DEAFNESS, AUTOSOMAL RECESSIVE 48; DFNB48 ","609439","CIB2","calcium and integrin binding family member 2","10518","605564","CNB1","YKL190W","CalciNeurin subunit B","Panther"
"USHER SYNDROME, TYPE IJ; USH1J ","614869","CIB2","calcium and integrin binding family member 2","10518","605564","CNB1","YKL190W","CalciNeurin subunit B","Panther"
"SPINOCEREBELLAR ATAXIA 36; SCA36 ","614153","NOP56","NOP56 ribonucleoprotein","10528","614154","NOP56","YLR197W","NucleOlar Protein of 56.8 kDa","Ensembl"
"SPINOCEREBELLAR ATAXIA 36; SCA36 ","614153","NOP56","NOP56 ribonucleoprotein","10528","614154","NOP56","YLR197W","NucleOlar Protein of 56.8 kDa","HomoloGene"
"SPINOCEREBELLAR ATAXIA 36; SCA36 ","614153","NOP56","NOP56 ribonucleoprotein","10528","614154","NOP56","YLR197W","NucleOlar Protein of 56.8 kDa","Panther"
"SPINOCEREBELLAR ATAXIA 36; SCA36 ","614153","NOP56","NOP56 ribonucleoprotein","10528","614154","NOP56","YLR197W","NucleOlar Protein of 56.8 kDa","TreeFam"
"SPECIFIC GRANULE DEFICIENCY; SGD ","245480","CEBPE","CCAAT/enhancer binding protein (C/EBP), epsilon","1053","600749","MET28","YIR017C","METhionine","Panther"
"AICARDI-GOUTIERES SYNDROME 4; AGS4 ","610333","RNASEH2A","ribonuclease H2, subunit A","10535","606034","RNH201","YNL072W","RNase H","Ensembl"
"AICARDI-GOUTIERES SYNDROME 4; AGS4 ","610333","RNASEH2A","ribonuclease H2, subunit A","10535","606034","RNH201","YNL072W","RNase H","HomoloGene"
"AICARDI-GOUTIERES SYNDROME 4; AGS4 ","610333","RNASEH2A","ribonuclease H2, subunit A","10535","606034","RNH201","YNL072W","RNase H","Panther"
"AICARDI-GOUTIERES SYNDROME 4; AGS4 ","610333","RNASEH2A","ribonuclease H2, subunit A","10535","606034","RNH201","YNL072W","RNase H","TreeFam"
"LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1; CGL1 ","608594","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2","10555","603100","SLC1","YDL052C","SphingoLipid Compensation","Ensembl"
"LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1; CGL1 ","608594","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2","10555","603100","SLC1","YDL052C","SphingoLipid Compensation","HomoloGene"
