Ensembl Gene ID,Human Ensembl Gene ID,% Identity with respect to query gene,"Orthology confidence [0 low, 1 high]",Human Chromosome Name,Human Chromosome Start (bp),Human Chromosome End (bp)
YNL243W,ENSG00000127946,22,1,7,75533300,75738962
YBR234C,ENSG00000241685,36,1,7,99325898,99388164
YBR234C,ENSG00000130429,35,1,7,99374249,99394801
YNL047C,,,,,,
YKL038W,,,,,,
YFL053W,ENSG00000149476,34,1,11,61333210,61353295
YOR200W,,,,,,
YKR060W,,,,,,
YPR200C,,,,,,
YLR411W,,,,,,
YLR318W,ENSG00000164362,21,1,5,1253147,1295069
YHR150W,,,,,,
YGL219C,,,,,,
YFL009W,,,,,,
YBR045C,,,,,,
YMR039C,ENSG00000113387,13,1,5,32531633,32604079
YKL195W,ENSG00000163528,14,1,3,14112077,14124870
YPR127W,,,,,,
YPL188W,,,,,,
YGL147C,ENSG00000163682,49,1,4,39454124,39458948
YDR217C,,,,,,
YML015C,ENSG00000064995,11,1,6,34877778,34888089
YJR126C,ENSG00000072274,17,1,3,196027183,196082189
YJR126C,ENSG00000086205,22,1,11,49146635,49208670
YJR126C,ENSG00000106327,19,1,7,100620416,100642779
YJR126C,ENSG00000168060,21,1,11,65044818,65058549
YJR126C,ENSG00000077616,22,1,11,90131515,90192894
YJR126C,ENSG00000177694,16,1,3,174438573,175810552
YPR026W,ENSG00000142102,13,1,11,289135,296107
YHR073W,,,,,,
YMR274C,ENSG00000173653,24,1,11,66842835,66846546
YMR008C,,,,,,
YHR125W,,,,,,
YER119C-A,,,,,,
YDL227C,,,,,,
YOR197W,,,,,,
YDR034C-C,,,,,,
YNL081C,,,,,,
YKL096W-A,,,,,,
YDR532C,,,,,,
YNL319W,,,,,,
YDR049W,ENSG00000163516,23,1,2,219229757,219236669
YBR113W,,,,,,
YKL170W,,,,,,
YJL043W,,,,,,
YGL047W,,,,,,
YLR006C,,,,,,
YHR079C,ENSG00000134398,19,1,16,23690326,23713500
YHR079C,ENSG00000178607,19,1,17,64039142,64130819
YPR171W,,,,,,
YML063W,ENSG00000145425,59,1,4,151099573,151104652
YLR178C,,,,,,
YHL029C,,,,,,
YJL090C,,,,,,
YBR008C,,,,,,
YDR372C,ENSG00000113384,33,1,5,32124704,32174350
YDR372C,ENSG00000143457,32,1,1,150646225,150697144
YOR184W,ENSG00000135069,39,1,9,78297143,78330093
YHR218W,,,,,,
YMR203W,ENSG00000158882,19,1,1,161225939,161230744
YMR203W,ENSG00000130204,21,1,19,44890569,44903689
YBL006W-A,,,,,,
YIR008C,ENSG00000198056,31,1,12,56731596,56752373
YBL024W,ENSG00000037474,35,1,5,6599239,6633291
YDR317W,,,,,,
YOL166C,,,,,,
YJL087C,,,,,,
YJL038C,,,,,,
YDR043C,,,,,,
YHR028C,ENSG00000074603,21,1,15,65442463,65517704
YHR028C,ENSG00000197635,28,1,2,161992241,162074542
YHR028C,ENSG00000078098,25,1,2,162170684,162245151
YHR028C,ENSG00000142002,20,1,19,4675224,4724673
YHR028C,ENSG00000130226,25,1,7,153887097,154894285
YHR028C,ENSG00000175497,25,1,2,114442299,115845752
YOR340C,,,,,,
YCL044C,,,,,,
YEL072W,,,,,,
YFR022W,,,,,,
YIR010W,,,,,,
YBL008W,ENSG00000100084,24,1,22,19330698,19447450
YMR178W,,,,,,
YOL008W,,,,,,
YHR017W,,,,,,
YKR101W,,,,,,
YMR095C,,,,,,
YHR198C,,,,,,
YOR076C,,,,,,
YGL015C,,,,,,
YNL219C,ENSG00000086848,33,1,11,111782195,111871581
YNL219C,ENSG00000258529,33,1,11,111786286,111879425
YLR210W,ENSG00000162063,16,1,16,2429394,2458854
YLR210W,ENSG00000105173,13,1,19,29811898,29824308
YLR210W,ENSG00000157456,23,1,15,59105078,59125045
YLR210W,ENSG00000133101,20,1,13,36431520,36442882
YLR210W,ENSG00000112576,10,1,6,41934933,42050357
YLR210W,ENSG00000147082,21,1,X,50202713,50351910
YLR210W,ENSG00000145386,20,1,4,121816444,121823933
YLR210W,ENSG00000152669,13,1,5,55231152,55233680
YLR210W,ENSG00000134057,24,1,5,69167010,69178245
YLR210W,ENSG00000110092,10,1,11,69641087,69654474
YLR210W,ENSG00000175305,11,1,8,94879770,94896678
YLR210W,ENSG00000118971,10,1,12,4273772,4305350
YIL034C,ENSG00000077549,46,1,1,19338776,19485539
YLR148W,ENSG00000104142,23,1,15,40894430,40903975
YOR342C,,,,,,
YOL070C,,,,,,
YDL160C,ENSG00000110367,56,1,11,118747766,118791149
YIL043C,ENSG00000100243,28,1,22,42617840,42649568
YIL043C,ENSG00000065615,26,1,6,83859643,83967424
YIL043C,ENSG00000159348,29,1,1,202961869,202967280
YIL043C,ENSG00000166394,26,1,11,7665100,7677222
YLR124W,,,,,,
YGR231C,ENSG00000215021,50,1,12,6965327,6970825
YPR202W,,,,,,
YGR034W,ENSG00000037241,52,1,5,172958729,172969771
YGR034W,ENSG00000263809,43,1,17,8368638,8383187
YGR034W,ENSG00000161970,52,1,17,8377520,8383213
YMR266W,,,,,,
YNL021W,ENSG00000068024,24,1,2,239048168,239401654
YNL021W,ENSG00000048052,23,1,7,18086949,19002416
YNL021W,ENSG00000061273,24,1,12,47782722,47833132
YNL021W,ENSG00000094631,27,1,X,48801377,48824982
YNL021W,ENSG00000100429,9,1,22,50245183,50251405
YNL021W,ENSG00000108840,22,1,17,44076746,44123702
YPL107W,,,,,,
YGR088W,,,,,,
YHR173C,,,,,,
YCR063W,ENSG00000106245,48,1,7,99408641,99419616
YHR073W-A,,,,,,
YDL048C,,,,,,
YML092C,ENSG00000106588,57,1,7,42916857,42932223
YML092C,ENSG00000256646,57,1,7,42909273,42932174
YPR097W,,,,,,
YBR201C-A,,,,,,
YNL056W,,,,,,
YAL020C,,,,,,
YDL025C,,,,,,
YDL243C,,,,,,
YFL017C,ENSG00000100522,30,1,14,52775194,52791668
YGL197W,,,,,,
YLR256W-A,,,,,,
YHR092C,ENSG00000160326,18,1,9,133471095,133479137
YHR092C,ENSG00000136856,22,1,9,127397138,127408424
YLL011W,ENSG00000164934,44,1,8,103414714,103443453
YDR379C-A,,,,,,
YDR113C,,,,,,
YLR189C,,,,,,
YNR074C,,,,,,
YOL159C,,,,,,
YDL247W,,,,,,
YFL028C,,,,,,
YML032C,ENSG00000002016,24,1,12,912077,990053
YBR256C,,,,,,
YOR081C,,,,,,
YLR442C,,,,,,
YPL024W,,,,,,
YMR257C,,,,,,
YDL219W,ENSG00000125821,47,1,20,18567453,18763917
YKL122C,,,,,,
YKR040C,,,,,,
YDL080C,,,,,,
YGL240W,ENSG00000164162,22,1,4,144967112,145098541
YEL001C,,,,,,
YLR374C,,,,,,
YPR168W,,,,,,
YDL034W,,,,,,
YHR109W,,,,,,
YJL060W,ENSG00000137944,30,1,1,88935773,88992953
YJL060W,ENSG00000171097,31,1,9,128832942,128882494
YJL060W,ENSG00000198650,19,1,16,71565660,71577130
YPL061W,ENSG00000136010,43,1,12,105019784,105084577
YPL061W,ENSG00000165092,45,1,9,72900662,73080442
YPL061W,ENSG00000137124,46,1,9,38392664,38398661
YPL061W,ENSG00000164904,27,1,5,126541841,126595418
YPL061W,ENSG00000161618,25,1,19,49453169,49471048
YPL061W,ENSG00000257767,22,1,12,111753890,111791418
YPL061W,ENSG00000128918,46,1,15,57953424,58497866
YPL061W,ENSG00000184254,47,1,15,100877714,100916626
YPL061W,ENSG00000111275,46,1,12,111766887,111817529
YPL061W,ENSG00000144908,42,1,3,126103562,126197994
YDR223W,,,,,,
YER174C,ENSG00000108010,39,1,10,130136399,130184521
YGR104C,,,,,,
YLR240W,ENSG00000133056,22,1,1,204422628,204494724
YLR240W,ENSG00000051382,22,1,3,138652699,138834938
YLR240W,ENSG00000011405,22,1,11,17077730,17207983
YLR240W,ENSG00000171608,23,1,1,9651732,9729114
YLR240W,ENSG00000121879,22,1,3,179148114,179240093
YLR240W,ENSG00000078142,37,1,18,41955206,42087830
YLR240W,ENSG00000139144,21,1,12,18247614,18648416
YLR240W,ENSG00000105851,22,1,7,106865278,106907145
YPR062W,,,,,,
YDR402C,,,,,,
YLR037C,,,,,,
YMR146C,ENSG00000023734,23,1,12,15882391,15903478
YMR146C,ENSG00000084623,43,1,1,32221928,32231604
YGR241C,ENSG00000073921,22,1,11,85957684,86069882
YGR241C,ENSG00000065609,22,1,6,83552880,83709691
YGL062W,,,,,,
YPR057W,,,,,,
YIL012W,,,,,,
YDR156W,,,,,,
YJR113C,,,,,,
YLR416C,,,,,,
YPR131C,ENSG00000173418,43,1,20,20017116,20033655
YLR029C,ENSG00000174748,71,1,3,23916545,23923692
YMR155W,,,,,,
YNL180C,,,,,,
YGR164W,,,,,,
YOL106W,,,,,,
YIL140W,,,,,,
YIL171W-A,,,,,,
YDR272W,ENSG00000103253,26,1,16,726936,735525
YDR272W,ENSG00000063854,32,1,16,1795620,1827194
YDR272W,ENSG00000127838,27,1,2,218270392,218346793
YDR272W,ENSG00000105755,17,1,19,43506719,43527244
YDR114C,,,,,,
YOR238W,,,,,,
YPR077C,,,,,,
YKL142W,,,,,,
YLR139C,,,,,,
YNR044W,,,,,,
YPR009W,,,,,,
YHR032W,ENSG00000180638,18,1,17,19678288,19718979
YHR032W,ENSG00000142494,20,1,17,19495385,19579034
YDR429C,ENSG00000130811,31,1,19,10115017,10119920
YGL079W,,,,,,
YNR031C,ENSG00000085511,18,1,6,160991727,161117385
YHR084W,,,,,,
YOR004W,ENSG00000147679,30,1,8,116766503,116849463
YMR086C-A,,,,,,
YMR233W,,,,,,
YMR244W,,,,,,
YLL010C,ENSG00000144677,26,1,3,37861960,37984469
YLL010C,ENSG00000144579,24,1,2,218398256,218405941
YLL010C,ENSG00000175215,25,1,12,57819927,57846739
YLL010C,ENSG00000137770,24,1,15,44427234,44529038
YNL188W,,,,,,
YKL156C-A,,,,,,
YNL104C,,,,,,
YIL005W,,,,,,
YOR365C,,,,,,
YNR030W,ENSG00000182858,29,1,22,49900229,49918458
YBR265W,,,,,,
Q0055,,,,,,
YGL131C,,,,,,
YDL162C,,,,,,
YDR246W-A,,,,,,
YHR033W,,,,,,
YNR040W,,,,,,
YNR034W,ENSG00000130313,26,1,19,17511629,17521288
YEL076C,,,,,,
YHL046W-A,,,,,,
YDL071C,,,,,,
YOR173W,ENSG00000110063,31,1,11,126303752,126345749
YOR337W,,,,,,
YGL104C,ENSG00000133460,19,1,22,23856703,23886309
YGL104C,ENSG00000059804,24,1,12,7919230,7936275
YGL104C,ENSG00000197241,24,1,1,9003300,9026345
YGL104C,ENSG00000163581,26,1,3,170996348,171026750
YGL104C,ENSG00000251357,9,1,22,23862188,23895223
YGL104C,ENSG00000173262,24,1,12,7812512,7891148
YGL104C,ENSG00000181856,25,1,17,7281667,7288257
YGL104C,ENSG00000142583,26,1,1,9035107,9088478
YGL104C,ENSG00000117394,26,1,1,42925375,42959173
YGL104C,ENSG00000109667,24,1,4,9771153,10054936
YNL181W,,,,,,
YDR164C,ENSG00000116266,19,1,1,108746674,108809526
YDR164C,ENSG00000076944,21,1,19,7636881,7647873
YDR164C,ENSG00000136854,20,1,9,127611760,127692936
YGR243W,ENSG00000143158,34,1,1,167916729,167937040
YOR107W,,,,,,
YDR464W,,,,,,
YGR210C,,,,,,
YLR012C,,,,,,
YOR168W,ENSG00000172053,39,1,3,49095932,49105101
YLR054C,,,,,,
YNL002C,,,,,,
YHR193C,ENSG00000136274,37,1,7,45080438,45088914
YHR193C,ENSG00000196531,38,1,12,56712428,56731628
YHR193C,ENSG00000253506,36,1,17,61590426,61591202
YNL294C,,,,,,
YOR005C,ENSG00000174405,24,1,13,108207439,108218368
YPR147C,,,,,,
YBR092C,,,,,,
YJL028W,,,,,,
YOR242C,,,,,,
YLR077W,,,,,,
YCR081W,,,,,,
YOR396C-A,,,,,,
YLR458W,,,,,,
YBL040C,ENSG00000136240,50,1,7,6445953,6484242
YBL040C,ENSG00000100196,45,1,22,38468062,38483447
YBL040C,ENSG00000105438,49,1,19,48382570,48391553
YJR127C,,,,,,
YJL176C,ENSG00000139613,24,1,12,56162983,56189567
YJL176C,ENSG00000173473,24,1,3,47585272,47782106
YLR453C,,,,,,
YCR007C,,,,,,
YHR128W,ENSG00000094841,47,1,X,75274085,75304600
YOR297C,,,,,,
YDR225W,ENSG00000274183,34,1,X,154884972,154885558
YDR225W,ENSG00000113648,59,1,5,135333900,135399914
YDR225W,ENSG00000277745,35,1,X,155459415,155460005
YDR225W,ENSG00000099284,57,1,10,70052796,70112280
YDR225W,ENSG00000277858,35,1,X,155380787,155381134
YPR020W,,,,,,
YJR003C,,,,,,
YIL101C,,,,,,
YHR136C,,,,,,
YPR114W,,,,,,
YPL189W,ENSG00000054392,15,1,1,210328252,210676296
YPL189W,ENSG00000010282,15,1,3,42692663,42702827
YJL056C,ENSG00000144792,8,1,3,44578223,44599694
YJL056C,ENSG00000169981,11,1,3,44648727,44660791
YPR169W-A,,,,,,
YLR264C-A,,,,,,
YPL247C,ENSG00000136485,25,1,17,63550461,63594266
YDR482C,,,,,,
YJL122W,,,,,,
YBL058W,ENSG00000088833,23,1,20,1442162,1473842
YBL058W,ENSG00000173960,15,1,2,23927285,24004909
YBL058W,ENSG00000215114,20,1,8,58411264,58451501
YLL039C,ENSG00000187608,13,1,1,1001138,1014541
YKL107W,,,,,,
YCL017C,ENSG00000244005,56,1,20,35668055,35699359
YCL017C,ENSG00000272897,15,1,20,35632340,35674544
YCL017C,ENSG00000132330,29,1,2,238060889,238099413
YER085C,,,,,,
YMR186W,ENSG00000126602,30,1,16,3651639,3717597
YMR186W,ENSG00000166598,48,1,12,103930107,103953645
YMR186W,ENSG00000080824,62,1,14,102080738,102139699
YCR065W,ENSG00000118689,16,1,6,108559835,108684774
YCR065W,ENSG00000150907,16,1,13,40555667,40666597
YCR065W,ENSG00000204060,12,1,1,41361922,41383590
YCR065W,ENSG00000111206,20,1,12,2857681,2877155
YCR065W,ENSG00000184481,15,1,X,71096197,71103535
YOR388C,,,,,,
