"","Ensembl.Gene.ID","Human.Ensembl.Gene.ID","X..Identity.with.respect.to.query.gene","Orthology.confidence..0.low..1.high.","Human.Chromosome.Name","Human.Chromosome.Start..bp.","Human.Chromosome.End..bp.","essential"
"181","YBR222C","ENSG00000176715",24,1,"16",89088375,89155846,FALSE
"184","YOR323C","ENSG00000059573",40,1,"10",95605929,95656706,FALSE
"185","YMR183C","ENSG00000099365",24,1,"16",30989256,31010628,FALSE
"186","YMR183C","ENSG00000178750",16,1,"3",94014369,94028610,FALSE
"187","YMR183C","ENSG00000135604",18,1,"6",144150526,144188370,FALSE
"188","YMR183C","ENSG00000106089",24,1,"7",73699206,73719672,FALSE
"189","YMR183C","ENSG00000103496",24,1,"16",31032889,31042975,FALSE
"190","YMR183C","ENSG00000111450",21,1,"12",130789600,130839266,FALSE
"191","YMR183C","ENSG00000166900",20,1,"11",59713456,59802706,FALSE
"192","YOR274W","ENSG00000043514",34,1,"1",39841022,39883511,FALSE
"193","YER146W","ENSG00000106355",42,1,"7",32485332,32495283,TRUE
"194","YML075C","ENSG00000113161",32,1,"5",75336329,75362104,FALSE
"195","YML075C","ENSG00000114650",13,1,"3",47413694,47477126,FALSE
"197","YPL063W","ENSG00000105197",21,1,"19",39480412,39493785,TRUE
"198","YDR457W","ENSG00000104517",12,1,"8",102253012,102412841,FALSE
"199","YDR457W","ENSG00000085382",6,1,"6",104728093,104859919,FALSE
"203","YGL097W","ENSG00000103657",22,1,"15",63608618,63833942,TRUE
"204","YGL097W","ENSG00000129158",15,1,"11",17788048,18013162,TRUE
"205","YGL097W","ENSG00000128731",26,1,"15",28111040,28322152,TRUE
"206","YGL097W","ENSG00000274523",19,1,"7",75027122,75074228,TRUE
"207","YGL097W","ENSG00000136161",17,1,"13",48488959,48533256,TRUE
"208","YGL097W","ENSG00000126107",13,1,"1",45002540,45011329,TRUE
"209","YGL097W","ENSG00000156313",17,1,"X",38269163,38327564,TRUE
"210","YGL097W","ENSG00000136144",18,1,"13",49531946,49585583,TRUE
"211","YGL097W","ENSG00000180198",25,1,"1",28505943,28539300,TRUE
"212","YGL097W","ENSG00000179051",16,1,"1",17406760,17439724,TRUE
"213","YGL097W","ENSG00000005700",17,1,"6",82169983,82247754,TRUE
"218","YPL140C","ENSG00000157764",19,1,"7",140719327,140924764,FALSE
"219","YPL140C","ENSG00000078061",18,1,"X",47561100,47571920,FALSE
"220","YPL140C","ENSG00000143674",18,1,"1",233327768,233385148,FALSE
"221","YPL140C","ENSG00000073803",19,1,"3",185282941,185489097,FALSE
"222","YPL140C","ENSG00000173327",19,1,"11",65597755,65615382,FALSE
"223","YPL140C","ENSG00000139625",18,1,"12",53479669,53500063,FALSE
"224","YPL140C","ENSG00000135341",15,1,"6",90513573,90587045,FALSE
"225","YPL140C","ENSG00000166333",10,1,"11",6603708,6610874,FALSE
"226","YPL140C","ENSG00000141068",16,1,"17",27456714,27626438,FALSE
"227","YPL140C","ENSG00000171435",16,1,"12",117453012,117968983,FALSE
"228","YPL140C","ENSG00000006432",19,1,"14",70722526,70809534,FALSE
"229","YPL140C","ENSG00000132155",18,1,"3",12583601,12664226,FALSE
"230","YPL140C","ENSG00000130758",19,1,"19",40191744,40215575,FALSE
"231","YPL140C","ENSG00000259030",18,1,"1",74198235,74543982,FALSE
"232","YPL140C","ENSG00000116783",18,1,"1",74235401,74544428,FALSE
"233","YPL140C","ENSG00000172680",15,1,"8",56112942,56113982,FALSE
"234","YPL140C","ENSG00000091436",15,1,"2",173075435,173268010,FALSE
"237","YGR055W","ENSG00000164893",17,1,"8",86214052,86321146,FALSE
"238","YGR055W","ENSG00000092068",19,1,"14",23125295,23183674,FALSE
"239","YGR055W","ENSG00000103064",20,1,"16",68264516,68301823,FALSE
"240","YGR055W","ENSG00000155465",21,1,"14",22773222,22829820,FALSE
"241","YGR055W","ENSG00000151012",18,1,"4",138164097,138242349,FALSE
"242","YGR055W","ENSG00000130876",19,1,"19",33208664,33225850,FALSE
"243","YGR055W","ENSG00000103257",20,1,"16",87830023,87869488,FALSE
"244","YGR055W","ENSG00000021488",21,1,"19",32830509,32869766,FALSE
"245","YKR054C","ENSG00000187240",21,1,"11",103109431,103479863,FALSE
"257","YGR047C","ENSG00000119041",20,1,"2",196763032,196799725,TRUE
"259","YBR208C","ENSG00000078070",13,1,"3",183015218,183116075,FALSE
"260","YBR208C","ENSG00000175198",12,1,"13",100089015,100530435,FALSE
"261","YER151C","ENSG00000103194",16,1,"16",84699978,84779922,FALSE
"262","YLR070C","ENSG00000140263",40,1,"15",45023104,45077185,FALSE
"263","YPR019W","ENSG00000125885",22,1,"20",5950652,5998977,TRUE
"264","YPR019W","ENSG00000104738",40,1,"8",47960185,47978160,TRUE
"266","YPR190C","ENSG00000186141",17,1,"1",145824088,145842505,TRUE
"272","YGR007W","ENSG00000185813",37,1,"17",81900965,81911464,FALSE
"276","YER061C","ENSG00000169710",22,1,"17",82078338,82098332,FALSE
"277","YER061C","ENSG00000151093",37,1,"3",25782917,25794534,FALSE
"279","YPL119C","ENSG00000067048",51,1,"Y",12904108,12920478,FALSE
"280","YPL119C","ENSG00000215301",51,1,"X",41333348,41364472,FALSE
"281","YPL119C","ENSG00000079785",22,1,"2",15591178,15631111,FALSE
"282","YPL119C","ENSG00000152670",40,1,"5",55738017,55817157,FALSE
"284","YHR186C","ENSG00000141564",31,1,"17",80544819,80966371,TRUE
"286","YLL019C","ENSG00000113240",21,1,"5",178602664,178630615,FALSE
"287","YLL019C","ENSG00000179335",20,1,"15",74598500,74645414,FALSE
"288","YLL019C","ENSG00000013441",22,1,"2",200853009,200864744,FALSE
"289","YLL019C","ENSG00000176444",20,1,"1",155262868,155278491,FALSE
"295","YBR291C","ENSG00000100075",36,1,"22",19175575,19178830,FALSE
"304","YGR220C","ENSG00000114686",34,1,"3",131462212,131502983,FALSE
"306","YMR161W","ENSG00000164031",29,1,"4",99896248,99946726,FALSE
"307","YMR161W","ENSG00000257390",19,1,"12",55757275,55827546,FALSE
"308","YMR161W","ENSG00000135392",21,1,"12",55820960,55830824,FALSE
"309","YMR161W","ENSG00000116138",29,1,"1",15526813,15592379,FALSE
"310","YMR161W","ENSG00000148719",30,1,"10",72332830,72355230,FALSE
"311","YMR161W","ENSG00000170464",26,1,"5",139408588,139444491,FALSE
"313","YDR258C","ENSG00000162129",19,1,"11",72292425,72434680,FALSE
"316","YNL243W","ENSG00000130787",23,1,"12",122834453,122862960,FALSE
"317","YNL243W","ENSG00000171914",16,1,"15",62390526,62844631,FALSE
"318","YNL243W","ENSG00000140406",2,1,"15",81000944,81005788,FALSE
"319","YNL243W","ENSG00000137076",16,1,"9",35696948,35732395,FALSE
"320","YNL243W","ENSG00000127946",22,1,"7",75533300,75738962,FALSE
"321","YBR234C","ENSG00000241685",36,1,"7",99325898,99388164,TRUE
"322","YBR234C","ENSG00000130429",35,1,"7",99374249,99394801,TRUE
"325","YFL053W","ENSG00000149476",34,1,"11",61333210,61353295,FALSE
"330","YLR318W","ENSG00000164362",21,1,"5",1253147,1295069,FALSE
"335","YMR039C","ENSG00000113387",13,1,"5",32531633,32604079,FALSE
"336","YKL195W","ENSG00000163528",14,1,"3",14112077,14124870,TRUE
"339","YGL147C","ENSG00000163682",49,1,"4",39454124,39458948,FALSE
"341","YML015C","ENSG00000064995",11,1,"6",34877778,34888089,TRUE
"342","YJR126C","ENSG00000072274",17,1,"3",196027183,196082189,FALSE
"343","YJR126C","ENSG00000086205",22,1,"11",49146635,49208670,FALSE
"344","YJR126C","ENSG00000106327",19,1,"7",100620416,100642779,FALSE
"345","YJR126C","ENSG00000168060",21,1,"11",65044818,65058549,FALSE
"346","YJR126C","ENSG00000077616",22,1,"11",90131515,90192894,FALSE
"347","YJR126C","ENSG00000177694",16,1,"3",174438573,175810552,FALSE
"348","YPR026W","ENSG00000142102",13,1,"11",289135,296107,FALSE
"350","YMR274C","ENSG00000173653",24,1,"11",66842835,66846546,FALSE
"361","YDR049W","ENSG00000163516",23,1,"2",219229757,219236669,FALSE
"367","YHR079C","ENSG00000134398",19,1,"16",23690326,23713500,FALSE
"368","YHR079C","ENSG00000178607",19,1,"17",64039142,64130819,FALSE
"370","YML063W","ENSG00000145425",59,1,"4",151099573,151104652,FALSE
"375","YDR372C","ENSG00000113384",33,1,"5",32124704,32174350,FALSE
"376","YDR372C","ENSG00000143457",32,1,"1",150646225,150697144,FALSE
"377","YOR184W","ENSG00000135069",39,1,"9",78297143,78330093,FALSE
"379","YMR203W","ENSG00000158882",19,1,"1",161225939,161230744,TRUE
"380","YMR203W","ENSG00000130204",21,1,"19",44890569,44903689,TRUE
"382","YIR008C","ENSG00000198056",31,1,"12",56731596,56752373,TRUE
"383","YBL024W","ENSG00000037474",35,1,"5",6599239,6633291,FALSE
"389","YHR028C","ENSG00000074603",21,1,"15",65442463,65517704,FALSE
"390","YHR028C","ENSG00000197635",28,1,"2",161992241,162074542,FALSE
"391","YHR028C","ENSG00000078098",25,1,"2",162170684,162245151,FALSE
"392","YHR028C","ENSG00000142002",20,1,"19",4675224,4724673,FALSE
"393","YHR028C","ENSG00000130226",25,1,"7",153887097,154894285,FALSE
"394","YHR028C","ENSG00000175497",25,1,"2",114442299,115845752,FALSE
"400","YBL008W","ENSG00000100084",24,1,"22",19330698,19447450,FALSE
"409","YNL219C","ENSG00000086848",33,1,"11",111782195,111871581,FALSE
"410","YNL219C","ENSG00000258529",33,1,"11",111786286,111879425,FALSE
"411","YLR210W","ENSG00000162063",16,1,"16",2429394,2458854,FALSE
"412","YLR210W","ENSG00000105173",13,1,"19",29811898,29824308,FALSE
"413","YLR210W","ENSG00000157456",23,1,"15",59105078,59125045,FALSE
"414","YLR210W","ENSG00000133101",20,1,"13",36431520,36442882,FALSE
"415","YLR210W","ENSG00000112576",10,1,"6",41934933,42050357,FALSE
"416","YLR210W","ENSG00000147082",21,1,"X",50202713,50351910,FALSE
"417","YLR210W","ENSG00000145386",20,1,"4",121816444,121823933,FALSE
"418","YLR210W","ENSG00000152669",13,1,"5",55231152,55233680,FALSE
"419","YLR210W","ENSG00000134057",24,1,"5",69167010,69178245,FALSE
"420","YLR210W","ENSG00000110092",10,1,"11",69641087,69654474,FALSE
"421","YLR210W","ENSG00000175305",11,1,"8",94879770,94896678,FALSE
"422","YLR210W","ENSG00000118971",10,1,"12",4273772,4305350,FALSE
"423","YIL034C","ENSG00000077549",46,1,"1",19338776,19485539,FALSE
"424","YLR148W","ENSG00000104142",23,1,"15",40894430,40903975,FALSE
"427","YDL160C","ENSG00000110367",56,1,"11",118747766,118791149,FALSE
"428","YIL043C","ENSG00000100243",28,1,"22",42617840,42649568,FALSE
"429","YIL043C","ENSG00000065615",26,1,"6",83859643,83967424,FALSE
"430","YIL043C","ENSG00000159348",29,1,"1",202961869,202967280,FALSE
"431","YIL043C","ENSG00000166394",26,1,"11",7665100,7677222,FALSE
"433","YGR231C","ENSG00000215021",50,1,"12",6965327,6970825,FALSE
"435","YGR034W","ENSG00000037241",52,1,"5",172958729,172969771,FALSE
"436","YGR034W","ENSG00000263809",43,1,"17",8368638,8383187,FALSE
"437","YGR034W","ENSG00000161970",52,1,"17",8377520,8383213,FALSE
"439","YNL021W","ENSG00000068024",24,1,"2",239048168,239401654,FALSE
"440","YNL021W","ENSG00000048052",23,1,"7",18086949,19002416,FALSE
"441","YNL021W","ENSG00000061273",24,1,"12",47782722,47833132,FALSE
"442","YNL021W","ENSG00000094631",27,1,"X",48801377,48824982,FALSE
"443","YNL021W","ENSG00000100429",9,1,"22",50245183,50251405,FALSE
"444","YNL021W","ENSG00000108840",22,1,"17",44076746,44123702,FALSE
"448","YCR063W","ENSG00000106245",48,1,"7",99408641,99419616,FALSE
"451","YML092C","ENSG00000106588",57,1,"7",42916857,42932223,TRUE
"452","YML092C","ENSG00000256646",57,1,"7",42909273,42932174,TRUE
"459","YFL017C","ENSG00000100522",30,1,"14",52775194,52791668,TRUE
"462","YHR092C","ENSG00000160326",18,1,"9",133471095,133479137,FALSE
"463","YHR092C","ENSG00000136856",22,1,"9",127397138,127408424,FALSE
"464","YLL011W","ENSG00000164934",44,1,"8",103414714,103443453,TRUE
"472","YML032C","ENSG00000002016",24,1,"12",912077,990053,FALSE
"478","YDL219W","ENSG00000125821",47,1,"20",18567453,18763917,FALSE
"482","YGL240W","ENSG00000164162",22,1,"4",144967112,145098541,FALSE
"488","YJL060W","ENSG00000137944",30,1,"1",88935773,88992953,FALSE
"489","YJL060W","ENSG00000171097",31,1,"9",128832942,128882494,FALSE
"490","YJL060W","ENSG00000198650",19,1,"16",71565660,71577130,FALSE
"491","YPL061W","ENSG00000136010",43,1,"12",105019784,105084577,FALSE
"492","YPL061W","ENSG00000165092",45,1,"9",72900662,73080442,FALSE
"493","YPL061W","ENSG00000137124",46,1,"9",38392664,38398661,FALSE
"494","YPL061W","ENSG00000164904",27,1,"5",126541841,126595418,FALSE
"495","YPL061W","ENSG00000161618",25,1,"19",49453169,49471048,FALSE
"496","YPL061W","ENSG00000257767",22,1,"12",111753890,111791418,FALSE
"497","YPL061W","ENSG00000128918",46,1,"15",57953424,58497866,FALSE
"498","YPL061W","ENSG00000184254",47,1,"15",100877714,100916626,FALSE
"499","YPL061W","ENSG00000111275",46,1,"12",111766887,111817529,FALSE
"500","YPL061W","ENSG00000144908",42,1,"3",126103562,126197994,FALSE
"502","YER174C","ENSG00000108010",39,1,"10",130136399,130184521,FALSE
"504","YLR240W","ENSG00000133056",22,1,"1",204422628,204494724,FALSE
"505","YLR240W","ENSG00000051382",22,1,"3",138652699,138834938,FALSE
"506","YLR240W","ENSG00000011405",22,1,"11",17077730,17207983,FALSE
"507","YLR240W","ENSG00000171608",23,1,"1",9651732,9729114,FALSE
"508","YLR240W","ENSG00000121879",22,1,"3",179148114,179240093,FALSE
"509","YLR240W","ENSG00000078142",37,1,"18",41955206,42087830,FALSE
"510","YLR240W","ENSG00000139144",21,1,"12",18247614,18648416,FALSE
"511","YLR240W","ENSG00000105851",22,1,"7",106865278,106907145,FALSE
"515","YMR146C","ENSG00000023734",23,1,"12",15882391,15903478,TRUE
"516","YMR146C","ENSG00000084623",43,1,"1",32221928,32231604,TRUE
"517","YGR241C","ENSG00000073921",22,1,"11",85957684,86069882,FALSE
"518","YGR241C","ENSG00000065609",22,1,"6",83552880,83709691,FALSE
"525","YPR131C","ENSG00000173418",43,1,"20",20017116,20033655,FALSE
"526","YLR029C","ENSG00000174748",71,1,"3",23916545,23923692,TRUE
"533","YDR272W","ENSG00000103253",26,1,"16",726936,735525,FALSE
"534","YDR272W","ENSG00000063854",32,1,"16",1795620,1827194,FALSE
"535","YDR272W","ENSG00000127838",27,1,"2",218270392,218346793,FALSE
"536","YDR272W","ENSG00000105755",17,1,"19",43506719,43527244,FALSE
"544","YHR032W","ENSG00000180638",18,1,"17",19678288,19718979,FALSE
"545","YHR032W","ENSG00000142494",20,1,"17",19495385,19579034,FALSE
"546","YDR429C","ENSG00000130811",31,1,"19",10115017,10119920,TRUE
"548","YNR031C","ENSG00000085511",18,1,"6",160991727,161117385,FALSE
"550","YOR004W","ENSG00000147679",30,1,"8",116766503,116849463,TRUE
"554","YLL010C","ENSG00000144677",26,1,"3",37861960,37984469,FALSE
"555","YLL010C","ENSG00000144579",24,1,"2",218398256,218405941,FALSE
"556","YLL010C","ENSG00000175215",25,1,"12",57819927,57846739,FALSE
"557","YLL010C","ENSG00000137770",24,1,"15",44427234,44529038,FALSE
"563","YNR030W","ENSG00000182858",29,1,"22",49900229,49918458,FALSE
"571","YNR034W","ENSG00000130313",26,1,"19",17511629,17521288,FALSE
"575","YOR173W","ENSG00000110063",31,1,"11",126303752,126345749,FALSE
"577","YGL104C","ENSG00000133460",19,1,"22",23856703,23886309,FALSE
"578","YGL104C","ENSG00000059804",24,1,"12",7919230,7936275,FALSE
"579","YGL104C","ENSG00000197241",24,1,"1",9003300,9026345,FALSE
"580","YGL104C","ENSG00000163581",26,1,"3",170996348,171026750,FALSE
"581","YGL104C","ENSG00000251357",9,1,"22",23862188,23895223,FALSE
"582","YGL104C","ENSG00000173262",24,1,"12",7812512,7891148,FALSE
"583","YGL104C","ENSG00000181856",25,1,"17",7281667,7288257,FALSE
"584","YGL104C","ENSG00000142583",26,1,"1",9035107,9088478,FALSE
"585","YGL104C","ENSG00000117394",26,1,"1",42925375,42959173,FALSE
"586","YGL104C","ENSG00000109667",24,1,"4",9771153,10054936,FALSE
"588","YDR164C","ENSG00000116266",19,1,"1",108746674,108809526,TRUE
"589","YDR164C","ENSG00000076944",21,1,"19",7636881,7647873,TRUE
"590","YDR164C","ENSG00000136854",20,1,"9",127611760,127692936,TRUE
"591","YGR243W","ENSG00000143158",34,1,"1",167916729,167937040,FALSE
"596","YOR168W","ENSG00000172053",39,1,"3",49095932,49105101,TRUE
"599","YHR193C","ENSG00000136274",37,1,"7",45080438,45088914,FALSE
"600","YHR193C","ENSG00000196531",38,1,"12",56712428,56731628,FALSE
"601","YHR193C","ENSG00000253506",36,1,"17",61590426,61591202,FALSE
"603","YOR005C","ENSG00000174405",24,1,"13",108207439,108218368,FALSE
"612","YBL040C","ENSG00000136240",50,1,"7",6445953,6484242,TRUE
"613","YBL040C","ENSG00000100196",45,1,"22",38468062,38483447,TRUE
"614","YBL040C","ENSG00000105438",49,1,"19",48382570,48391553,TRUE
"616","YJL176C","ENSG00000139613",24,1,"12",56162983,56189567,FALSE
"617","YJL176C","ENSG00000173473",24,1,"3",47585272,47782106,FALSE
"620","YHR128W","ENSG00000094841",47,1,"X",75274085,75304600,TRUE
"622","YDR225W","ENSG00000274183",34,1,"X",154884972,154885558,FALSE
"623","YDR225W","ENSG00000113648",59,1,"5",135333900,135399914,FALSE
"624","YDR225W","ENSG00000277745",35,1,"X",155459415,155460005,FALSE
"625","YDR225W","ENSG00000099284",57,1,"10",70052796,70112280,FALSE
"626","YDR225W","ENSG00000277858",35,1,"X",155380787,155381134,FALSE
"632","YPL189W","ENSG00000054392",15,1,"1",210328252,210676296,FALSE
"633","YPL189W","ENSG00000010282",15,1,"3",42692663,42702827,FALSE
"634","YJL056C","ENSG00000144792",8,1,"3",44578223,44599694,FALSE
"635","YJL056C","ENSG00000169981",11,1,"3",44648727,44660791,FALSE
"638","YPL247C","ENSG00000136485",25,1,"17",63550461,63594266,FALSE
"641","YBL058W","ENSG00000088833",23,1,"20",1442162,1473842,FALSE
"642","YBL058W","ENSG00000173960",15,1,"2",23927285,24004909,FALSE
"643","YBL058W","ENSG00000215114",20,1,"8",58411264,58451501,FALSE
"644","YLL039C","ENSG00000187608",13,1,"1",1001138,1014541,FALSE
"646","YCL017C","ENSG00000244005",56,1,"20",35668055,35699359,TRUE
"647","YCL017C","ENSG00000272897",15,1,"20",35632340,35674544,TRUE
"648","YCL017C","ENSG00000132330",29,1,"2",238060889,238099413,TRUE
"650","YMR186W","ENSG00000126602",30,1,"16",3651639,3717597,FALSE
"651","YMR186W","ENSG00000166598",48,1,"12",103930107,103953645,FALSE
"652","YMR186W","ENSG00000080824",62,1,"14",102080738,102139699,FALSE
"653","YCR065W","ENSG00000118689",16,1,"6",108559835,108684774,FALSE
"654","YCR065W","ENSG00000150907",16,1,"13",40555667,40666597,FALSE
"655","YCR065W","ENSG00000204060",12,1,"1",41361922,41383590,FALSE
"656","YCR065W","ENSG00000111206",20,1,"12",2857681,2877155,FALSE
"657","YCR065W","ENSG00000184481",15,1,"X",71096197,71103535,FALSE
"659","YLR002C","ENSG00000173145",29,1,"10",94333226,94362959,TRUE
"660","YFL045C","ENSG00000140650",56,1,"16",8788823,8849331,TRUE
"661","YFL045C","ENSG00000100417",56,1,"22",41576894,41589890,TRUE
"669","YNL020C","ENSG00000115977",21,1,"2",69457997,69674349,FALSE
"670","YNL020C","ENSG00000138756",19,1,"4",78776342,78916372,FALSE
"671","YNL020C","ENSG00000116675",9,1,"1",65248219,65415869,FALSE
"672","YNL020C","ENSG00000178950",21,1,"4",849276,932373,FALSE
"673","YGL125W","ENSG00000177000",41,1,"1",11785723,11806920,FALSE
"674","YKR038C","ENSG00000092094",59,1,"14",20446411,20455105,TRUE
"676","YLR354C","ENSG00000177156",59,1,"11",747329,765024,FALSE
"679","YDR284C","ENSG00000147535",29,1,"8",38263130,38269243,FALSE
"680","YDR284C","ENSG00000203805",27,1,"10",120456954,120589855,FALSE
"685","YJL143W","ENSG00000126768",45,1,"X",48893447,48898143,TRUE
"686","YJL143W","ENSG00000134375",46,1,"1",201955491,201970661,TRUE
"691","YBR065C","ENSG00000086589",21,1,"5",150690794,150701107,FALSE
"695","YNL068C","ENSG00000160973",6,1,"8",144473412,144476335,FALSE
"696","YNL068C","ENSG00000170802",9,1,"2",48314637,48379294,FALSE
"697","YNL068C","ENSG00000176302",5,1,"11",118971707,118981291,FALSE
