orf	gene	go_process	go_function	go_component	essential	het_ypd_A	het_ypd_B	HET_AV	slow_ypd_het	hom_ypd_C	hom_ypd_D	HOM_AV	slow_ypd_hom	het_mm_B	slow_mm_het	hom_mm_D	slow_mm_hom
YAL020C  	ATS1      	microtubule-based process	molecular_function unknown	cellular_component unknown	NO	1.021	1.009	1.015	no	0.915	0.905	0.910	yes	1.012	no	0.980	NO
YAL021C  	ccr4      	regulation of transcription from Pol II promoter*	3'-5' exoribonuclease activity	cytoplasm*	NO	1.030	1.014	1.022	no	0.927	0.912	0.920	yes	1.015	no	0.887	YES
YAL022C  	FUN26     	nucleoside transport	nucleoside transporter activity	membrane*	NO	1.026	1.012	1.019	no	1.019	1.008	1.013	no	1.007	no	1.029	NO
YAL023C  	PMT2      	O-linked glycosylation	dolichyl-phosphate-mannose-protein mannosyltransferase activity	endoplasmic reticulum	NO	1.001	0.963	0.982	no	0.913	0.929	0.921	yes	1.000	no	0.744	YES
YAL024C  	lte1      	regulation of exit from mitosis	guanyl-nucleotide exchange factor activity	bud	NO	1.001	0.999	1.000	no	0.991	0.991	0.991	no	1.017	no	0.925	YES
YAL025C  	mak16     	ribosomal large subunit biogenesis*	molecular_function unknown	nucleolus	YES	1.004	0.981	0.993	no	ND	ND	ND	Essential	1.017	no	ND	Essential
YAL026C  	DRS2      	processing of 20S pre-rRNA*	ATPase activity*	plasma membrane*	NO	1.019	0.990	1.004	no	0.939	0.949	0.944	yes	1.023	no	0.903	YES
YAL027W  	YAL027W   	biological_process unknown	molecular_function unknown	nucleus	NO	1.014	1.002	1.008	no	0.985	1.008	0.996	no	1.006	no	1.005	NO
YAL028W  	YAL028W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.044	1.004	1.031	no	0.982	1.004	0.993	no	1.006	no	1.010	NO
YAL029C  	MYO4      	"mRNA localization, intracellular"	microfilament motor activity	actin cap (sensu Saccharomyces)	NO	1.020	1.013	1.016	no	1.010	1.021	1.016	no	1.022	no	1.030	NO
YAL030W  	SNC1      	endocytosis*	v-SNARE activity	transport vesicle	NO	1.024	1.010	1.017	no	1.010	1.010	1.010	no	0.996	no	1.011	NO
YAL031C  	FUN21     	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.010	1.007	1.008	no	1.010	1.011	1.011	no	0.992	no	1.007	NO
YAL032C  	PRP45     	positive regulation of transcription from Pol II promoter	transcriptional activator activity	nucleus	YES	1.011	1.003	1.007	no	ND	ND	ND	Essential	1.007	no	ND	Essential
YAL033W  	POP5      	rRNA processing*	ribonuclease P activity*	ribonuclease MRP complex*	YES	1.019	1.008	1.013	no	ND	ND	ND	Essential	1.029	no	ND	Essential
YAL034C  	FUN19     	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.022	0.999	1.011	no	1.012	1.030	1.018	no	1.023	no	1.036	NO
YAL034W-a	MTW1      	chromosome segregation	molecular_function unknown	spindle pole	YES	1.009	1.015	1.012	no	ND	ND	ND	Essential	1.013	no	ND	Essential
YAL035C-A	YAL035C-A 				YES	0.999	1.008	1.003	no	ND	ND	ND	Essential	1.006	no	ND	Essential
YAL035W  	FUN12     	translational initiation	translation initiation factor activity*	cytosolic small ribosomal subunit (sensu Eukarya)	NO	1.005	1.000	1.002	no	0.998	0.879	0.919	no	0.987	no	0.773	YES
YAL036C  	FUN11     	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.018	0.995	1.007	no	1.015	1.006	1.011	no	0.709	no	1.014	NO
YAL037W  	YAL037W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.012	0.994	1.003	no	1.018	1.012	1.015	no	0.995	no	1.009	NO
YAL038W  	cdc19     	glycolysis*	pyruvate kinase activity	cytosol	YES	1.012	1.007	1.009	no	ND	ND	ND	Essential	0.990	no	ND	Essential
YAL039C  	cyc3      	cytochrome c-heme linkage	holocytochrome-c synthase activity	mitochondrial intermembrane space	NO	1.006	1.002	1.004	no	0.938	0.949	0.944	yes	1.025	no	0.908	YES
YAL040C  	cln3      	G1/S transition of mitotic cell cycle*	cyclin-dependent protein kinase regulator activity	nucleus	NO	1.026	0.995	1.011	no	1.011	0.995	1.003	no	1.027	no	1.059	NO
YAL041W  	cdc24     	establishment of cell polarity (sensu Saccharomyces)*	signal transducer activity*	nucleus*	YES	1.014	1.008	1.011	no	ND	ND	ND	Essential	0.989	no	ND	Essential
YAL042W  	ERV46     	ER to Golgi transport	molecular_function unknown	integral to endoplasmic reticulum membrane*	NO	1.020	1.009	1.014	no	1.002	1.008	1.005	no	0.989	no	1.017	NO
YAL043C  	pta1      	mRNA polyadenylation*	cleavage/polyadenylation specificity factor activity	mRNA cleavage and polyadenylation specificity factor complex*	YES	1.040	1.013	1.026	no	ND	ND	ND	Essential	1.012	no	ND	Essential
YAL043C-A	YAL043C-A 				NO	1.020	1.015	1.018	no	0.998	1.011	1.005	no	1.009	no	1.007	NO
YAL044C  	GCV3      	one-carbon compound metabolism	glycine dehydrogenase (decarboxylating) activity	mitochondrion	NO	0.992	ND	0.992	no	ND	0.860	0.860	no	ND	no	0.819	YES
YAL045C  	YAL045C   				NO	1.004	0.982	0.993	no	1.014	1.006	1.010	no	1.002	no	1.009	NO
YAL046C  	YAL046C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.893	0.994	0.960	no	ND	1.000	1.000	no	1.010	no	1.022	NO
YAL047C  	SPC72     	mitotic chromosome segregation*	structural constituent of cytoskeleton	outer plaque of spindle pole body	NO	1.003	1.002	1.002	no	0.903	0.843	0.877	yes	1.003	no	0.754	YES
YAL048C  	YAL048C   	vesicle-mediated transport	molecular_function unknown	integral to membrane	NO	0.862	1.001	0.931	no	ND	1.002	1.002	no	0.992	no	0.997	NO
YAL049C  	YAL049C   	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.017	ND	1.017	no	0.983	1.015	0.999	no	ND	no	1.017	NO
YAL051W  	OAF1      	peroxisome organization and biogenesis*	DNA binding*	nucleus	NO	1.009	1.010	1.009	no	1.011	1.010	1.010	no	1.009	no	1.014	NO
YAL053W  	YAL053W   	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.011	1.011	1.011	no	1.003	1.009	1.006	no	1.014	no	1.009	NO
YAL054C  	acs1      	acetyl-CoA biosynthesis*	acetate-CoA ligase activity	cytosol	NO	0.992	1.004	0.998	no	1.028	1.016	1.022	no	1.008	no	1.037	NO
YAL055W  	PEX22     	protein-peroxisome targeting	molecular_function unknown	peroxisome	NO	1.008	1.008	1.008	no	0.974	0.999	0.986	no	1.011	no	1.012	NO
YAL056W  	GPE2      	signal transduction	signal transducer activity	cytoplasm*	NO	1.008	1.014	1.010	no	ND	1.018	1.018	no	1.004	no	1.003	NO
YAL058C-A	YAL058C-A 				NO	1.000	1.009	1.005	no	0.966	0.951	0.959	no	0.990	no	1.010	NO
YAL058W  	CNE1      	ER-associated protein catabolism	molecular_function unknown	integral to endoplasmic reticulum membrane	NO	1.013	1.021	1.016	no	0.929	0.950	0.940	yes	1.015	no	1.004	NO
YAL059W  	ECM1      	cell wall organization and biogenesis	molecular_function unknown	nucleus	NO	1.002	1.005	1.003	no	0.994	0.990	0.992	no	1.010	no	0.998	NO
YAL060W  	YAL060W   	butanediol fermentation	"(R,R)-butanediol dehydrogenase activity"	cytoplasm	NO	1.016	1.010	1.013	no	1.014	1.011	1.012	no	1.021	no	1.005	NO
YAL061W  	YAL061W   	biological_process unknown	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	cytoplasm*	NO	1.009	0.994	1.002	no	1.017	1.003	1.010	no	1.001	no	1.020	NO
YAL062W  	GDH3      	glutamate biosynthesis	glutamate dehydrogenase activity	nucleus*	NO	1.012	1.018	1.015	no	1.017	1.005	1.011	no	1.020	no	1.030	NO
YAL064C-A	YAL064C-A 	biological_process unknown	molecular_function unknown	cellular_component unknown		0.968	0.996	0.982	no	1.010	1.022	1.016	no	0.994	no	0.997	NO
YAL065C  	YAL065C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.005	1.010	1.008	no	1.005	1.011	1.008	no	1.004	no	1.005	NO
YAL066W  	YAL066W   				NO	1.012	ND	1.012	no	0.998	1.005	1.001	no	ND	no	1.023	NO
YAL067C  	SEO1      	transport	transporter activity	membrane	NO	0.995	1.003	0.999	no	1.003	1.019	1.011	no	1.006	no	1.005	NO
YAL068C  	YAL068C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.010	1.002	1.006	no	1.013	1.005	1.009	no	1.001	no	0.994	NO
YAR002C-A	ERP1      	ER to Golgi transport	molecular_function unknown	COPII-coated vesicle		0.989	1.009	0.999	no	1.019	1.014	1.017	no	1.001	no	1.045	NO
YAR002W  	NUP60     	nucleocytoplasmic transport*	structural constituent of nuclear pore	nuclear pore	NO	0.905	0.886	0.896	yes	0.813	0.826	0.819	yes	0.909	yes	0.939	YES
YAR003W  	YAR003W   	chromatin silencing at telomere*	transcriptional activator activity*	nuclear chromatin	NO	1.013	1.012	1.013	no	0.996	0.995	0.996	no	0.996	no	0.968	NO
YAR007C  	RFA1      	DNA recombination*	damaged DNA binding*	DNA replication factor A complex	YES	1.015	1.000	1.007	no	ND	ND	ND	Essential	0.995	no	ND	Essential
YAR008W  	SEN34     	tRNA splicing	tRNA-intron endonuclease activity	nuclear inner membrane*	YES	1.012	1.004	1.008	no	ND	ND	ND	Essential	1.008	no	ND	Essential
YAR014C  	BUD14     	cellular morphogenesis during vegetative growth	molecular_function unknown	bud neck*	NO	1.028	1.011	1.019	no	0.980	0.963	0.972	no	1.007	no	0.990	NO
YAR015W  	ade1      	purine nucleotide biosynthesis*	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	cytoplasm*	NO	1.017	1.006	1.012	no	0.835	0.887	0.861	yes	0.993	no	0.780	YES
YAR018C  	KIN3      	chromosome segregation	protein kinase activity	cellular_component unknown	NO	0.986	0.971	0.978	no	0.963	0.964	0.964	yes	0.829	no	1.008	NO
YAR019C  	cdc15     	protein amino acid phosphorylation*	protein kinase activity	bud neck*	YES	1.023	1.003	1.013	no	ND	ND	ND	Essential	1.015	no	ND	Essential
YAR020C  	PAU7      	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.015	1.009	1.012	no	1.007	1.009	1.008	no	1.011	no	1.016	NO
YAR023C  	YAR023C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.019	1.026	1.022	no	1.017	1.019	1.018	no	1.012	no	1.006	NO
YAR027W  	YAR027W   	biological_process unknown	molecular_function unknown	nuclear membrane	NO	1.010	1.016	1.013	no	1.011	1.012	1.012	no	0.995	no	1.014	NO
YAR028W  	YAR028W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.019	1.011	1.015	no	1.022	1.028	1.025	no	1.033	no	1.016	NO
YAR029W  	YAR029W   	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.029	1.009	1.019	no	1.004	1.013	1.009	no	1.002	no	1.021	NO
YAR030C  	YAR030C   				NO	1.022	1.006	1.014	no	1.011	1.015	1.013	no	1.008	no	1.003	NO
YAR031W  	PRM9      	conjugation with cellular fusion	molecular_function unknown	plasma membrane*	NO	1.020	1.010	1.015	no	1.006	1.010	1.008	no	1.001	no	1.011	NO
YAR035W  	YAT1      	alcohol metabolism*	carnitine O-acetyltransferase activity	mitochondrion	NO	1.028	1.006	1.017	no	1.015	1.015	1.015	no	1.004	no	1.000	NO
YAR037W  	YAR037W   				NO	1.018	1.012	1.015	no	1.014	1.014	1.014	no	1.019	no	1.006	NO
YAR040C  	YAR040C   				NO	1.012	1.004	1.008	no	1.012	1.022	1.017	no	1.008	no	1.007	NO
YAR042W  	SWH1      	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.006	1.006	1.006	no	1.009	1.020	1.014	no	0.995	no	0.999	NO
YAR043C  	YAR043C   				NO	1.020	1.007	1.014	no	1.031	1.017	1.024	no	1.019	no	1.025	NO
YAR044W  	OSH1      	steroid biosynthesis	oxysterol binding*	endoplasmic reticulum*	NO	1.015	1.004	1.009	no	1.001	1.014	1.007	no	0.986	no	0.987	NO
YAR047C  	YAR047C   				NO	0.956	0.977	0.967	no	0.976	1.024	1.000	no	0.959	no	1.017	NO
YAR050W  	FLO1      	flocculation	cell adhesion molecule activity	cell wall (sensu Fungi)	NO	0.978	1.004	0.991	no	1.001	1.017	1.009	no	1.013	no	1.043	NO
YBL001C  	ECM15     	cell wall organization and biogenesis	molecular_function unknown	cytoplasm*	NO	0.872	0.785	0.828	no	1.017	1.008	1.013	no	0.785	no	1.009	NO
YBL002W  	HTB2      	chromatin assembly/disassembly	DNA binding	nuclear nucleosome	NO	0.939	0.960	0.950	no	1.004	1.005	1.005	no	0.934	no	1.022	NO
YBL003C  	HTA2      	chromatin assembly/disassembly	DNA binding	nuclear nucleosome	NO	0.821	0.839	0.830	no	1.002	1.012	1.007	no	0.827	no	1.018	NO
YBL004W  	YBL004W   	processing of 20S pre-rRNA	snoRNA binding	cytoplasm*	YES	1.010	1.013	1.011	no	ND	ND	ND	Essential	1.002	no	ND	Essential
YBL005W  	pdr3      	regulation of transcription from Pol II promoter*	DNA binding*	cytoplasm*	NO	0.866	0.859	0.863	no	1.004	1.007	1.006	no	0.879	no	1.013	NO
YBL006C  	YBL006C   	cell wall mannoprotein biosynthesis	molecular_function unknown	cellular_component unknown	NO	1.009	1.008	1.009	no	0.963	0.970	0.966	yes	1.001	no	0.939	YES
YBL007C  	SLA1      	cell wall organization and biogenesis*	cytoskeletal protein binding	actin cortical patch (sensu Saccharomyces)	NO	0.993	0.961	0.977	no	0.827	0.817	0.822	yes	0.971	no	0.722	YES
YBL008W  	HIR1      	regulation of transcription from Pol II promoter	transcription co-repressor activity	nucleus*	NO	1.018	1.007	1.012	no	1.006	0.998	1.002	no	0.992	no	0.991	NO
YBL009W  	YBL009W   	meiosis	protein serine/threonine kinase activity	nucleus	NO	1.010	1.005	1.007	no	1.018	1.015	1.016	no	1.008	no	1.013	NO
YBL010C  	YBL010C   	biological_process unknown	molecular_function unknown	clathrin-coated vesicle	NO	0.996	1.008	1.002	no	1.005	1.008	1.006	no	0.998	no	1.010	NO
YBL011W  	SCT1      	phospholipid biosynthesis	glycerol-3-phosphate O-acyltransferase activity	endoplasmic reticulum	NO	0.947	0.931	0.939	no	0.993	1.007	1.000	no	0.870	no	0.997	NO
YBL012C  	YBL012C   				NO	1.005	1.006	1.005	no	0.992	1.007	1.000	no	0.991	no	0.988	NO
YBL013W  	FMT1      	translational initiation*	methionyl-tRNA formyltransferase activity	mitochondrion	NO	1.025	0.999	1.012	no	1.012	1.008	1.010	no	0.955	no	0.980	NO
YBL014C  	RRN6      	transcription from Pol I promoter	RNA polymerase I transcription factor activity	RNA polymerase I transcription factor complex	YES	0.818	ND	0.818	no	ND	ND	ND	Essential	ND	no	ND	Essential
YBL015W  	ACH1      	acetate metabolism*	acetyl-CoA hydrolase activity	mitochondrion*	NO	1.015	1.007	1.011	no	1.009	1.005	1.007	no	0.991	no	1.011	NO
YBL016W  	FUS3      	protein amino acid phosphorylation*	MAP kinase activity	cytoplasm*	NO	1.001	1.019	1.010	no	ND	ND	ND	no	1.014	no	ND	NO
YBL017C  	pep1      	protein-vacuolar targeting*	signal sequence binding	Golgi apparatus	NO	0.993	1.011	0.999	no	1.015	1.012	1.014	no	1.003	no	0.964	NO
YBL018C  	POP8      	rRNA processing*	ribonuclease P activity*	ribonuclease MRP complex*	YES	1.012	1.013	1.013	no	ND	ND	ND	Essential	1.011	no	ND	Essential
YBL019W  	APN2      	DNA repair	phosphodiesterase I activity*	nucleus	NO	0.998	1.008	1.003	no	0.997	1.006	1.001	no	1.012	no	1.010	NO
YBL020W  	rft1      	N-linked glycosylation*	oligosaccharide transporter activity	endoplasmic reticulum membrane	YES	1.004	1.000	1.002	no	ND	ND	ND	Essential	1.008	no	ND	Essential
YBL021C  	HAP3      	transcription*	transcriptional activator activity	CCAAT-binding factor complex	NO	0.839	0.879	0.856	no	0.975	0.992	0.984	no	0.833	no	0.949	YES
YBL022C  	PIM1      	proteolysis and peptidolysis*	ATP-dependent peptidase activity	mitochondrial matrix	NO	0.878	0.847	0.868	no	1.003	0.998	1.000	no	0.820	no	0.977	NO
YBL023C  	mcm2      	DNA replication initiation*	chromatin binding*	cytoplasm*	YES	0.978	0.971	0.975	yes	ND	ND	ND	Essential	0.956	no	ND	Essential
YBL024W  	NCL1      	tRNA methylation	tRNA (cytosine-5-)-methyltransferase activity	nucleus	NO	0.996	1.007	1.000	no	1.007	0.996	1.002	no	1.007	no	0.991	NO
YBL025W  	RRN10     	transcription from Pol I promoter	RNA polymerase I transcription factor activity*	RNA polymerase I upstream activating factor complex	NO	1.003	0.996	0.999	no	ND	ND	ND	no	0.992	no	ND	NO
YBL026W  	LSM2      	"nuclear mRNA splicing, via spliceosome*"	pre-mRNA splicing factor activity	small nuclear ribonucleoprotein complex	YES	1.001	0.985	0.993	no	ND	ND	ND	Essential	1.007	no	ND	Essential
YBL027W  	RPL19B    	protein biosynthesis	structural constituent of ribosome	cytosolic large ribosomal subunit (sensu Eukarya)	NO	0.956	0.937	0.947	yes	0.938	0.916	0.927	yes	0.992	no	0.979	NO
YBL028C  	YBL028C   	biological_process unknown	molecular_function unknown	nucleus*	NO	1.012	1.009	1.011	no	1.026	1.005	1.016	no	0.998	no	1.033	NO
YBL029W  	YBL029W   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	1.006	1.011	1.009	no	1.023	1.009	1.016	no	1.006	no	0.997	NO
YBL030C  	pet9      	ATP/ADP exchange	ATP:ADP antiporter activity	mitochondrial inner membrane	YES	0.988	0.998	0.991	no	ND	ND	ND	Essential	0.995	no	ND	Essential
YBL031W  	SHE1      	biological_process unknown	molecular_function unknown	microtubule cytoskeleton	NO	1.005	1.005	1.005	no	1.008	0.988	0.998	no	1.004	no	0.991	NO
YBL032W  	YBL032W   	telomerase-dependent telomere maintenance*	mRNA binding	cytoplasm*	NO	1.015	1.011	1.013	no	1.006	1.002	1.004	no	0.983	no	1.005	NO
YBL033C  	rib1      	vitamin B2 biosynthesis	cyclohydrolase activity	cytoplasm*	NO	1.005	1.005	1.005	no	0.918	0.948	0.933	yes	1.009	no	0.850	YES
YBL034C  	STU1      	microtubule nucleation	structural constituent of cytoskeleton	spindle pole body	YES	1.009	1.002	1.005	no	ND	ND	ND	Essential	1.015	no	ND	Essential
YBL035C  	POL12     	DNA replication initiation*	alpha DNA polymerase activity	alpha DNA polymerase:primase complex	YES	1.010	1.007	1.009	no	ND	ND	ND	Essential	0.996	no	ND	Essential
YBL036C  	YBL036C   	amino acid metabolism	*	intracellular	NO	1.015	1.001	1.008	no	1.012	1.004	1.008	no	0.991	no	1.002	NO
YBL037W  	APL3      	vesicle-mediated transport	molecular_function unknown	AP-2 adaptor complex	NO	1.015	1.004	1.010	no	1.020	1.012	1.016	no	1.002	no	1.021	NO
YBL038W  	MRPL16    	protein biosynthesis	structural constituent of ribosome*	mitochondrial large ribosomal subunit	NO	0.932	1.001	0.966	no	0.850	0.831	0.840	yes	1.003	no	0.805	YES
YBL039C  	URA7      	phospholipid biosynthesis*	CTP synthase activity	cytosol	NO	1.003	1.002	1.002	no	0.888	0.858	0.873	yes	1.001	no	0.988	NO
YBL040C  	ERD2      	protein-ER retention	HDEL sequence binding	integral to endoplasmic reticulum membrane	YES	1.003	1.006	1.005	no	ND	ND	ND	Essential	1.001	no	ND	Essential
YBL041W  	PRE7      	ubiquitin-dependent protein catabolism	endopeptidase activity	proteasome core complex (sensu Eukarya)	YES	1.001	0.992	0.997	no	ND	ND	ND	Essential	0.984	no	ND	Essential
YBL042C  	FUI1      	uridine transport	uridine transporter activity	plasma membrane	NO	1.005	0.996	1.001	no	0.982	0.978	0.980	no	0.999	no	0.981	NO
YBL043W  	ECM13     	cell wall organization and biogenesis	molecular_function unknown	cellular_component unknown	NO	0.995	1.002	0.998	no	0.986	1.005	0.996	no	0.995	no	1.009	NO
YBL044W  	YBL044W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.976	0.949	0.960	no	0.980	1.004	0.992	no	0.880	no	1.013	NO
YBL045C  	COR1      	aerobic respiration	ubiquinol-cytochrome-c reductase activity	respiratory chain complex III (sensu Eukarya)	NO	1.003	1.002	1.003	no	1.024	0.930	0.961	no	0.998	no	0.900	YES
YBL046W  	YBL046W   	biological_process unknown	molecular_function unknown	nucleus	NO	0.996	0.996	0.996	no	1.014	1.008	1.011	no	0.990	no	1.007	NO
YBL047C  	YBL047C   	endocytosis	molecular_function unknown	bud neck*	NO	0.827	0.797	0.812	no	0.989	0.966	0.979	no	0.784	no	1.013	NO
YBL048W  	YBL048W   				NO	1.021	1.007	1.014	no	1.020	1.006	1.013	no	1.016	no	1.015	NO
YBL049W  	YBL049W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.011	1.006	1.008	no	1.013	1.007	1.010	no	1.012	no	1.001	NO
YBL050W  	SEC17     	ER to Golgi transport	soluble NSF attachment protein activity	peripheral to membrane of membrane fraction	YES	1.014	1.012	1.013	no	ND	ND	ND	Essential	1.005	no	ND	Essential
YBL051C  	YBL051C   	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.003	1.005	1.004	no	0.983	0.989	0.986	no	0.994	no	0.989	NO
YBL052C  	SAS3      	chromatin silencing at telomere*	acetyltransferase activity	nuclear nucleosome	NO	1.003	1.004	1.004	no	1.013	1.006	1.009	no	0.706	no	1.003	NO
YBL053W  	YBL053W   				NO	0.995	1.002	0.998	no	1.024	1.012	1.019	no	1.002	no	1.001	NO
YBL054W  	YBL054W   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	1.006	0.995	1.001	no	1.022	1.004	1.013	no	1.002	no	1.000	NO
YBL055C  	YBL055C   	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.004	0.998	1.001	no	1.016	1.004	1.010	no	1.003	no	1.006	NO
YBL056W  	PTC3      	protein amino acid dephosphorylation*	protein phosphatase type 2C activity	cytoplasm*	NO	1.009	0.994	1.002	no	1.015	1.013	1.014	no	0.997	no	1.006	NO
YBL057C  	YBL057C   	protein biosynthesis	aminoacyl-tRNA hydrolase activity	cytoplasm	NO	1.000	1.001	1.000	no	1.015	1.010	1.012	no	0.995	no	1.016	NO
YBL058W  	SHP1      	sporulation (sensu Saccharomyces)*	molecular_function unknown	cytoplasm*	NO	0.996	1.004	1.000	no	0.891	0.858	0.877	yes	1.001	no	0.840	YES
YBL059W  	YBL059W   	biological_process unknown	molecular_function unknown	mitochondrion	NO	1.013	0.993	1.004	no	1.003	0.992	0.998	no	1.005	no	1.003	NO
YBL060W  	YBL060W   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	1.001	1.004	1.002	no	1.004	1.010	1.007	no	1.011	no	0.987	NO
YBL061C  	SKT5      	response to osmotic stress*	enzyme activator activity	contractile ring (sensu Saccharomyces)	NO	0.998	0.997	0.997	no	1.015	1.004	1.010	no	1.006	no	0.996	NO
YBL062W  	YBL062W   				NO	0.990	0.935	0.962	no	1.000	1.011	1.005	no	0.916	no	0.986	NO
YBL063W  	KIP1      	microtubule nucleation*	structural constituent of cytoskeleton*	spindle pole body*	NO	1.005	1.005	1.005	no	1.014	1.008	1.011	no	0.994	no	1.017	NO
YBL064C  	YBL064C   	regulation of cell redox homeostasis	thioredoxin peroxidase activity	mitochondrion	NO	1.008	1.003	1.006	no	1.011	1.010	1.011	no	1.004	no	1.001	NO
YBL065W  	YBL065W   				NO	0.956	0.966	0.960	no	1.015	1.011	1.014	no	0.963	no	0.980	NO
YBL066C  	SEF1      	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.999	0.996	0.997	no	1.015	1.010	1.012	no	1.006	no	1.007	NO
YBL067C  	UBP13     	biological_process unknown	ubiquitin-specific protease activity	cellular_component unknown	NO	0.983	0.939	0.961	no	1.004	0.998	1.001	no	0.802	no	0.974	NO
YBL068W  	PRS4      	histidine biosynthesis*	ribose-phosphate diphosphokinase activity	cytoplasm	NO	0.999	1.002	1.001	no	1.013	1.000	1.006	no	1.009	no	1.016	NO
YBL069W  	AST1      	protein-membrane targeting	protein transporter activity	extrinsic to membrane	NO	0.831	0.839	0.835	no	1.016	1.010	1.013	no	0.831	no	1.020	NO
YBL070C  	YBL070C   				NO	0.998	1.001	0.999	no	1.019	1.008	1.014	no	1.009	no	1.014	NO
